"","X","x"
"28",28,"D4ZHLFP1_63_C33P7ACXX_1_2106_7518_62390	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"29",29,"D4ZHLFP1_63_C33P7ACXX_1_2214_18195_52186	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"30",30,"D4ZHLFP1_63_C33P7ACXX_1_2314_18616_77656	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"31",31,"D4ZHLFP1_63_C33P7ACXX_1_1313_3893_21244	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"32",32,"D4ZHLFP1_63_C33P7ACXX_1_2207_10857_33989	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"33",33,"D4ZHLFP1_63_C33P7ACXX_1_2308_3651_83315	Bacteria(94);Bacteria_unclassified(94);Bacteria_unclassified(94);Bacteria_unclassified(94);Bacteria_unclassified(94);Bacteria_unclassified(94);"
"34",34,"D4ZHLFP1_63_C33P7ACXX_1_2107_7014_26182	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"35",35,"D4ZHLFP1_63_C33P7ACXX_1_1314_7045_30968	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"36",36,"D4ZHLFP1_63_C33P7ACXX_1_1207_12972_27088	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"37",37,"D4ZHLFP1_63_C33P7ACXX_1_1213_5357_67468	Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);SAR324_clade(Marine_group_B)(100);SAR324_clade(Marine_group_B)_fa(100);SAR324_clade(Marine_group_B)_ge(100);"
